sentiment,sentence,label
neutral,The shares carry a right to dividend and other shareholder rights as from their registration with the Finnish Trade Register .,1
positive,UPM-Kymmene has generated four consecutive quarters of positive Free Cash Flow .,2
positive,"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",2
negative,Hobby Hall 's sales decrease 26 pct due to implementing a new information system that involved changing in the principal of posting sales .,0
neutral,"The total restructuring costs are expected to be about EUR 30mn , of which EUR 13.5 mn was booked in December 2008 .",1
negative,The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR 93.9 million USD 137.3 m as given in the interim report on August 5 .,0
neutral,Forest certification is a voluntary system aimed at promoting sustainable forest management in commercial forests .,1
positive,"Dubai Nokia has announced the launch of `` Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music .",2
neutral,Three students from Universiti Sains Malaysia have won a study trip to Helsinki .,1
neutral,"The plant will be fired with a combination of spruce bark , chipped logging residues or milled peat .",1
neutral,The phones are targeted at first time users in growth markets .,1
neutral,The orders are part of a long-term development plan of Latvijas Finieris .,1
neutral,"`` We will continue to make it easier for users to explore services on their handsets and will work towards bringing Internet to a wider range of devices including mid and low-end devices , '' said Kallasvuo .",1
neutral,"It is part of the development of the world-class magnetite deposit at Karara , which has the known potential for over 30 million metric tons of annual processing of magnetite over its estimated 30-year life .",1
neutral,The value of the contract is EUR 25mn .,1
negative,The maritime administration said the ships had ignored warnings about the icy conditions .,0
neutral,"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems .",1
neutral,"The Costanza light , with an aluminum base and washable shade , comes in white , pistachio , orange , blue and red .",1
positive,`` Consumers have very well received our packed fresh meat .,2
positive,"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",2
neutral,"Nordea Bank AB publ holds 6.000 Alma Media shares , representing 0.008 % of share capital and voting rights .",1
negative,"The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .",0
neutral,QPR product family is fully compatible with Microsoft 's Windows 7 operating system .,1
neutral,The value of the orders is over EUR 10mn .,1
negative,"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",0
negative,The air traffic of Finland has been in stoppage since then .,0
neutral,Aspo 's Group structure and business operations are continually developed without any predefined schedules .,1
positive,Previously the company has estimated its operating profit to reach the level of 2005 only .,2
positive,"`` BasWare 's product sales grew strongly in the financial period , by 24 percent .",2
positive,"In contrast , the company 's net loss for the third quarter of 2009 contracted to EUR 76 million from EUR 256 million for the corresponding period a year ago .",2
positive,The actions are expected to deliver annual cost savings of some EUR15-20m .,2
neutral,"This implementation will upgrade the existing system , enabling voicemail and video mail to be housed on the same platform .",1
negative,"Also the city 's insurance company , If P & C Insurance , has said it will not pay compensation .",0
positive,"The company said that it will supply the WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station in East Java , Bali , Sumatra and Batam .",2
neutral,Aviation Systems Maintenance is based in Kansas and generated net sales of USD 2.6 million for 2008 .,1
positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",2
neutral,"Votorantim Celulose e Papel ( VCP ) is part of the Votorantim Group , a major Brazilian conglomerate .",1
neutral,"`` EB Tough VoIP was designed to fulfill the communications needs of military units , and we continue to strive towards achieving that goal , '' Mikko Viitaniemi , EB Elektrobit Defense Products , Wireless Solutions senior manager , said in a statement .",1
neutral,"The sale will be finalized in September or October , the company said .",1
neutral,"As a condition to the deal , Savcor Alfa has to have bought Photonium and Akseli Lahtinen Inc. 's business operations prior to the deal .",1
neutral,The solution will be installed in the USA to support the North American operations of the customer .,1
negative,"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",0
neutral,"Mr. Mikko Saavalainen , head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their OSS today .",1
neutral,The Finnish textiles and clothing company Marimekko Corporation ( OMX Helsinki : MMO1V ) reported on Wednesday ( 5 November ) an operating profit of EUR8 .1 m on net sales of EUR59m for the period from January to September 2008 .,1
negative,The number of salaried employees and group administration employees to be dismissed from the Sievi units is 17 .,0
neutral,YIT Kausta will build commercial and residential highrises in Virsuliskes area .,1
neutral,The invention carries International Patent Publication No. .,1
neutral,The total value of the contract is some EUR 8 million .,1
neutral,Temporary layoffs in these units have already started .,1
positive,"Revenue from July to September grew 21 percent to EURO 2.3 billion , the Finnish company said Thursday .",2
positive,"`` Lidskoe Pivo 's investment program foresees the integrated modernization of production , updating transport and logistics infrastructure and developing new marketing instruments , '' Mikshis said .",2
neutral,GenVec is a biopharmaceutical company developing novel therapeutic drugs and vaccines .,1
positive,"In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years .",2
neutral,An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET .,1
neutral,Panostaja is a financially secure Finnish multi-field corporation that creates healthy companies and company entities .,1
neutral,Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .,1
neutral,"The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company .",1
neutral,"Elisa Corporation will disclose its financial statements for 2006 on Thursday , 8 February 2007 .",1
neutral,Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .,1
neutral,Honkarakenne Oyj - a world-leading manufacturer of genuine wooden homes - will be sponsoring Finnish crosscountry skier Virpi Kuitunen for the next three years .,1
neutral,The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .,1
positive,The company expects its net sales in 2008 to increase 5-10 % from 2007 .,2
positive,"More than 200 volunteers from Fiskars , the garden tool company , Home Depot ( NYSE : HD ) , the city of Baltimore and the neighborhood are working right now to create a garden sanctuary - in a single day .",2
neutral,"An  of the invention , released by the Patent Office , said : `` A non-coherent search matrix is formed of said correlation function matrix .",1
neutral,"The share sale , to foreign and Finnish investors , is expected to raise some euro300 million ( US$ 380 million ) .",1
positive,The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .,2
neutral,An appeal concerning the project has been lodged at the Czech Ministry of the Environment .,1
positive,"This is Done Logistics ' largest order in Norway , the diversified group said .",2
neutral,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , is acquiring the manufacturing unit of the TVS Electronic Ltd at Tumkur , near Bangalore , for Rs40 crore .",1
negative,"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .",0
negative,"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",0
positive,"( ADPnews ) - Nov 9 , 2009 - Four companies have agreed to buy for a combined SEK 5.9 billion ( USD 854m-EUR 571.8 m ) all drug stores offered for sale as part of the restructuring of Swedish stated-owned pharmacy monopoly Apoteket AB , t",2
positive,The divestment of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .,2
neutral,"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",1
positive,"The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should double Atria Russia 's production capacity in the St Petersburg area .",2
positive,The bank sees a potential for Getinge share to rise .,2
neutral,Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .,1
neutral,"Laavainen said Benecol was well known in Europe and the US , where it had been in the market for 15 years .",1
positive,The estimated synergy benefits are at least EUR7m annually .,2
positive,The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,2
positive,"Recovery has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia .",2
neutral,"RK Group , headquartered in Vantaa , Finland , is one of Europe 's leading machinery rental services .",1
positive,"mn , and pretax profit to EUR 46.4 mn from EUR 35.8 mn in the third quarter of 2006 .",2
positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",2
neutral,Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 .,1
positive,"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 .",2
positive,Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .,2
neutral,The company specialises in temporary electrification and heating at construction sites .,1
neutral,"AHMS will also offer Hotel and Hotel Project Consultancy , Management Services , Brand Franchise , Training and Sales and Marketing services on a pan-India basis .",1
neutral,Scanfil plc is a global contract manufacturer and systems supplier for communication and industrial electronics .,1
neutral,"Construction work on the Helsinki Music Centre is to start this autumn , with the total cost of the project estimated at 140 million euros .",1
positive,"`` QPR 8 integrated management system is the fastest , easiest and most efficient way for organizations all around the world to take control of their human-centric business processes .",2
positive,"Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery .",2
positive,"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier .",2
neutral,The ground barleycorn has been fully produced in Finland and will be available in stores as of the beginning of 2010 .,1
neutral,"In the spring 2006 , a total of 386,530 Stock Options 2002 B were annulled .",1
neutral,The Estonian parliament was set to vote on amendments to the excise duty law on Wednesday that would add 0.42 kroons to the price of a liter of diesel and 0.45 kroons to the price of a liter of gasoline from the start of 2010 .,1
positive,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",2
neutral,"Honka 's subsidiaries in France and Germany will also benefit by , for example , arranging customer events in conjunction with World Cup skiing competitions .",1
neutral,"---------------------------------------------------------------------- -------------- Munich , 14 January 2008 : BAVARIA Industriekapital AG closed the acquisition of Elcoteq Communications Technology GmbH in Offenburg , Germany , with the approval of the",1
positive,"29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow .",2
neutral,Finnish fibers and plastics producer Suominen Corporation OMX Helsinki : SUY1V reported on Wednesday 22 October an operating loss of EUR0 .8 m on net sales of EUR55 .2 m for the third quarter of 2008 .,1
