sentence,label
We are now in a position to pursue novel clinical candidates going forward . '',1
The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR 93.9 million USD 137.3 m as given in the interim report on August 5 .,0
"The company said that it will supply the WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station in East Java , Bali , Sumatra and Batam .",1
Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .,1
"Previously , the company had guided for EBIT and sales growth of 20 pct and 10 pct respectively for this year .",1
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",1
Previously the company has estimated its operating profit to reach the level of 2005 only .,1
"The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State , Brazil .",1
The hack had been extra nefarious because the tweets activated without being clicked on - it was enough for Web surfers to move their mouse cursors over them .,0
UPM-Kymmene has generated four consecutive quarters of positive Free Cash Flow .,1
"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .",0
The actions are expected to deliver annual cost savings of some EUR15-20m .,1
`` Consumers have very well received our packed fresh meat .,1
"`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .",1
The air traffic of Finland has been in stoppage since then .,0
The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .,1
Estonia 's beer market overall grew three percent last year to 130 million liters .,1
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,0
The estimated synergy benefits are at least EUR7m annually .,1
"Speaking to just-drinks today , a spokesperson for Olvi said : `` We have performed very well in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . ''",1
"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",1
"All the ferries had run into trouble just outside the Stockholm archipelago , made up of more than 20,000 islands .",0
The maritime administration said the ships had ignored warnings about the icy conditions .,0
"29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow .",1
"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .",1
"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",1
The Finnish group anticipates a sales gain of EUR42m after tax and expenses .,1
"Cargotec Corporation , Press Release , August 26 , 2008 at 10 a.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant offshore crane retrofit order .",1
"Profit per share was EUR 1.03 , up from EUR 0.87 .",1
"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .",0
The number of salaried employees and group administration employees to be dismissed from the Sievi units is 17 .,0
"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier .",1
"In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million .",1
Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).,1
The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,1
The total need for staff cuts corresponds to about 300 man-years .,0
"`` QPR 8 integrated management system is the fastest , easiest and most efficient way for organizations all around the world to take control of their human-centric business processes .",1
"The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .",0
"Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery .",1
"In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years .",1
"Stora Enso Oyj , the largest papermaker , in October said it would close four mills .",0
"- The Group 's sales during the period were EUR 37.5 million ( EUR 48.2 million , 1-9/2008 ) and result before taxes was a loss of EUR -3.5 ( +1.2 ) million .",0
"mn , and pretax profit to EUR 46.4 mn from EUR 35.8 mn in the third quarter of 2006 .",1
Hobby Hall 's sales decrease 26 pct due to implementing a new information system that involved changing in the principal of posting sales .,0
"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",0
Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .,1
"In contrast , the company 's net loss for the third quarter of 2009 contracted to EUR 76 million from EUR 256 million for the corresponding period a year ago .",1
"This is Done Logistics ' largest order in Norway , the diversified group said .",1
"Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .",1
"The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 .",1
"`` Lidskoe Pivo 's investment program foresees the integrated modernization of production , updating transport and logistics infrastructure and developing new marketing instruments , '' Mikshis said .",1
The divestment of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .,1
"( ADPnews ) - Nov 9 , 2009 - Four companies have agreed to buy for a combined SEK 5.9 billion ( USD 854m-EUR 571.8 m ) all drug stores offered for sale as part of the restructuring of Swedish stated-owned pharmacy monopoly Apoteket AB , t",1
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",1
"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",1
Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .,1
